,1,4,16,64
150,2.0,10.0,4.0,5.0
151,2.0,6.0,4.0,0.0
152,6.0,6.0,2.0,1.0
153,8.0,2.0,7.0,2.0
154,3.0,1.0,5.0,1.0
155,3.0,6.0,9.0,2.0
156,3.0,1.0,5.0,2.0
157,1.0,4.0,7.0,2.0
158,2.0,3.0,4.0,5.0
159,2.0,5.0,4.0,3.0
160,-1.0,6.0,7.0,5.0
161,0.0,7.0,7.0,4.0
162,2.0,2.0,9.0,1.0
163,2.0,6.0,7.0,2.0
164,4.0,4.0,8.0,6.0
165,0.0,3.0,7.0,2.0
166,5.0,10.0,8.0,1.0
167,1.0,10.0,2.0,4.0
168,0.0,7.0,7.0,5.0
169,7.0,6.0,3.0,5.0
170,2.0,6.0,1.0,6.0
171,0.0,5.0,6.0,3.0
172,3.0,4.0,6.0,5.0
173,3.0,8.0,4.0,8.0
174,5.0,8.0,6.0,1.0
175,4.0,1.0,7.0,0.0
176,2.0,4.0,6.0,0.0
177,6.0,9.0,8.0,5.0
178,3.0,8.0,5.0,3.0
179,0.0,8.0,6.0,11.0
180,4.0,7.0,6.0,3.0
181,3.0,8.0,2.0,2.0
182,8.0,3.0,11.0,2.0
183,5.0,5.0,4.0,3.0
184,5.0,10.0,7.0,1.0
185,-2.0,5.0,6.0,2.0
186,3.0,3.0,6.0,4.0
187,0.0,2.0,7.0,7.0
188,3.0,4.0,4.0,1.0
189,2.0,3.0,11.0,2.0
190,7.0,4.0,9.0,2.0
191,4.0,3.0,7.0,4.0
192,7.0,4.0,3.0,3.0
193,0.0,5.0,5.0,1.0
194,2.0,6.0,1.0,4.0
195,1.0,5.0,8.0,5.0
196,8.0,6.0,5.0,1.0
197,1.0,3.0,8.0,-1.0
198,2.0,6.0,5.0,1.0
199,2.0,7.0,9.0,3.0
200,5.0,4.0,5.0,4.0
201,4.0,8.0,4.0,5.0
202,5.0,5.0,3.0,2.0
203,2.0,5.0,8.0,3.0
204,5.0,1.0,2.0,11.0
205,0.0,3.0,3.0,6.0
206,8.0,8.0,5.0,5.0
207,6.0,5.0,4.0,4.0
208,12.0,6.0,5.0,1.0
209,6.0,6.0,6.0,8.0
210,10.0,6.0,7.0,5.0
211,6.0,5.0,0.0,6.0
212,7.0,9.0,10.0,1.0
213,1.0,0.0,4.0,6.0
214,6.0,3.0,8.0,6.0
215,6.0,8.0,3.0,3.0
216,4.0,8.0,1.0,10.0
217,5.0,8.0,6.0,4.0
218,4.0,4.0,3.0,2.0
219,1.0,7.0,3.0,9.0
220,0.0,10.0,3.0,6.0
221,8.0,5.0,6.0,1.0
222,4.0,6.0,3.0,7.0
223,1.0,1.0,10.0,2.0
224,7.0,4.0,0.0,4.0
225,8.0,7.0,0.0,4.0
226,4.0,5.0,8.0,2.0
227,5.0,6.0,6.0,6.0
228,2.0,4.0,8.0,0.0
229,3.0,7.0,1.0,7.0
230,5.0,12.0,6.0,3.0
231,10.0,6.0,5.0,3.0
232,10.0,4.0,9.0,9.0
233,9.0,6.0,19.0,11.0
234,2.0,5.0,10.0,6.0
235,8.0,11.0,7.0,3.0
236,4.0,6.0,7.0,5.0
237,8.0,8.0,4.0,6.0
238,5.0,4.0,12.0,6.0
239,4.0,3.0,2.0,0.0
240,5.0,14.0,10.0,5.0
241,4.0,5.0,3.0,6.0
242,7.0,8.0,6.0,11.0
243,11.0,11.0,3.0,3.0
244,8.0,6.0,4.0,7.0
245,4.0,5.0,11.0,10.0
246,6.0,9.0,9.0,5.0
247,5.0,3.0,9.0,7.0
248,6.0,10.0,4.0,8.0
249,5.0,5.0,7.0,5.0
250,0.0,12.0,11.0,2.0
251,8.0,11.0,8.0,8.0
252,5.0,2.0,6.0,3.0
253,6.0,9.0,3.0,4.0
254,7.0,9.0,4.0,4.0
255,5.0,6.0,8.0,3.0
256,2.0,13.0,6.0,4.0
257,6.0,8.0,11.0,4.0
258,9.0,12.0,3.0,4.0
259,3.0,8.0,10.0,4.0
260,6.0,7.0,10.0,3.0
261,3.0,4.0,11.0,6.0
262,1.0,8.0,6.0,4.0
263,4.0,4.0,6.0,1.0
264,7.0,7.0,11.0,1.0
265,8.0,6.0,11.0,4.0
266,11.0,7.0,8.0,8.0
267,0.0,4.0,12.0,5.0
268,9.0,7.0,6.0,6.0
269,8.0,7.0,4.0,9.0
270,6.0,3.0,2.0,2.0
271,3.0,16.0,4.0,6.0
272,8.0,12.0,7.0,7.0
273,5.0,10.0,8.0,6.0
274,11.0,13.0,9.0,8.0
275,3.0,17.0,4.0,5.0
276,7.0,10.0,4.0,1.0
277,8.0,9.0,14.0,5.0
278,10.0,8.0,8.0,5.0
279,6.0,9.0,10.0,14.0
280,4.0,10.0,10.0,11.0
281,1.0,10.0,10.0,10.0
282,9.0,10.0,6.0,3.0
283,9.0,7.0,9.0,9.0
284,7.0,13.0,8.0,9.0
285,2.0,11.0,13.0,11.0
286,7.0,12.0,7.0,3.0
287,4.0,6.0,10.0,2.0
288,6.0,10.0,8.0,12.0
289,9.0,13.0,10.0,5.0
290,11.0,13.0,9.0,0.0
291,5.0,12.0,11.0,7.0
292,4.0,14.0,10.0,2.0
293,6.0,8.0,4.0,4.0
294,10.0,7.0,3.0,6.0
295,7.0,7.0,12.0,7.0
296,13.0,6.0,14.0,12.0
297,4.0,10.0,13.0,5.0
298,2.0,11.0,12.0,5.0
299,6.0,7.0,8.0,11.0
