,500,5000,25000
223,10.0,8.0,9.0
224,6.0,7.0,6.0
225,5.0,6.0,2.0
226,5.0,5.0,5.0
227,7.0,9.0,9.0
228,10.0,6.0,5.0
229,5.0,1.0,7.0
230,4.0,4.0,9.0
231,7.0,9.0,9.0
232,2.0,10.0,6.0
233,8.0,11.0,7.0
234,11.0,2.0,7.0
235,4.0,8.0,2.0
236,7.0,6.0,5.0
237,5.0,7.0,3.0
238,5.0,8.0,8.0
239,11.0,9.0,6.0
240,9.0,7.0,4.0
241,11.0,12.0,4.0
242,12.0,6.0,8.0
243,14.0,6.0,9.0
244,3.0,10.0,16.0
245,7.0,9.0,6.0
246,10.0,9.0,7.0
247,13.0,4.0,14.0
248,6.0,10.0,7.0
249,8.0,8.0,5.0
250,4.0,11.0,10.0
251,11.0,6.0,10.0
252,4.0,9.0,9.0
253,11.0,12.0,6.0
254,6.0,8.0,13.0
255,7.0,11.0,11.0
256,11.0,8.0,7.0
257,2.0,5.0,5.0
258,9.0,6.0,6.0
259,10.0,7.0,13.0
260,8.0,6.0,9.0
261,6.0,2.0,4.0
262,11.0,1.0,6.0
263,7.0,8.0,12.0
264,7.0,12.0,9.0
265,6.0,8.0,7.0
266,10.0,10.0,7.0
267,9.0,11.0,9.0
268,0.0,10.0,3.0
269,7.0,8.0,5.0
270,11.0,7.0,11.0
271,6.0,3.0,6.0
272,6.0,9.0,8.0
273,8.0,13.0,9.0
274,7.0,7.0,13.0
275,9.0,5.0,10.0
276,14.0,5.0,3.0
277,6.0,3.0,10.0
278,8.0,3.0,10.0
279,4.0,8.0,8.0
280,8.0,9.0,9.0
281,5.0,8.0,6.0
282,5.0,6.0,13.0
283,5.0,6.0,5.0
284,8.0,11.0,10.0
285,8.0,7.0,4.0
286,4.0,10.0,13.0
287,8.0,10.0,9.0
288,2.0,8.0,7.0
289,5.0,4.0,10.0
290,4.0,8.0,7.0
291,11.0,6.0,11.0
292,0.0,13.0,4.0
293,9.0,11.0,13.0
294,15.0,10.0,21.0
295,9.0,12.0,7.0
296,3.0,11.0,15.0
297,4.0,10.0,10.0
298,7.0,11.0,10.0
299,4.0,13.0,11.0
